product_id,name,category,artisan,region,price,material,tags,description
P001,Madhubani Painting Peacock,Painting,Sita Kala Studio,Bihar,1200,Paper and natural colors,"traditional folk bird wall-art","Hand-painted Madhubani artwork with detailed peacock motifs and folk storytelling."
P002,Blue Pottery Vase,Pottery,Jaipur Blue Earth,Rajasthan,850,Clay,"ceramic handmade decorative home","Handcrafted blue pottery vase with floral glaze for shelves and console decor."
P003,Banarasi Silk Saree,Textiles,Varanasi Loom House,Uttar Pradesh,5500,Silk,"wedding traditional ethnic festive","Classic Banarasi silk saree woven for weddings and heirloom festive wear."
P004,Wooden Elephant Figure,Woodwork,Aarav Carvers,Karnataka,450,Teak wood,"home decor carved eco-friendly gift","Teak wood elephant figurine carved by hand for warm living room accents."
P005,Pashmina Shawl,Textiles,Noor Weaves,Jammu and Kashmir,3200,Pashmina wool,"winter luxury handwoven soft","Soft handwoven pashmina shawl with lightweight warmth and premium finish."
P006,Terracotta Ganesha Idol,Pottery,Meera Terracotta,West Bengal,380,Terracotta,"religious festive handmade pooja","Small terracotta Ganesha idol suitable for pooja corners and festive gifting."
P007,Warli Painting,Painting,Tribal Brush Collective,Maharashtra,950,Paper and acrylic,"tribal folk traditional framed","Warli painting showing village life using symbolic tribal line work."
P008,Brass Diya Set,Metalware,Kaveri Metal Works,Uttar Pradesh,650,Brass,"diwali decorative religious festive","Set of brass diyas with hammered finish for festive decor and rituals."
P009,Leather Jutti Women,Footwear,Rajputana Craft Footwear,Rajasthan,1100,Leather,"ethnic handcrafted comfortable casual","Traditional leather jutti with stitched detail for festive and everyday styling."
P010,Bamboo Basket,Bamboo Craft,North East Weave House,Assam,320,Bamboo,"kitchen eco-friendly storage woven","Lightweight bamboo basket designed for pantry storage and table presentation."
P011,Phulkari Dupatta,Textiles,Punjab Thread Studio,Punjab,1800,Cotton,"traditional vibrant embroidery festive","Bright Phulkari dupatta with floral embroidery for festive layering."
P012,Sandalwood Carved Box,Woodwork,Mysore Aroma Craft,Karnataka,1500,Sandalwood,"aromatic gift carved keepsake","Carved sandalwood box with subtle fragrance for jewelry and keepsake storage."
P013,Kantha Stitch Quilt,Textiles,Bengal Stitch House,West Bengal,2400,Cotton,"handmade colorful bedspread soft","Layered Kantha quilt with vivid patchwork and hand-stitched detailing."
P014,Dhokra Metal Art,Metalware,Bastar Bell Metal Studio,Chhattisgarh,1250,Bell metal,"tribal antique folk-art sculpture","Dhokra figurine cast with traditional lost-wax technique and tribal styling."
P015,Pattachitra Painting,Painting,Odisha Scroll Atelier,Odisha,1600,Cloth and natural colors,"mythological scroll-art traditional","Pattachitra folk painting inspired by mythological stories and decorative framing."
P016,Moonj Grass Basket,Home Decor,Saras Basket Guild,Uttar Pradesh,780,Moonj grass,"storage woven natural shelf","Woven moonj basket designed for shelf storage and plant styling."
P017,Kalamkari Tote Bag,Bags,Sita Handpainted Textiles,Andhra Pradesh,690,Cotton,"botanical painted daily-use bag","Kalamkari cotton tote with painted botanical motifs and practical inner pocket."
P018,Neem Wood Spice Spoon Set,Kitchen,Aarav Woodcraft,Karnataka,420,Neem wood,"kitchen carved eco-friendly spoon","Small neem wood spice spoon set for masalas, tea jars, and gifting."

